Party name,Party abbreviation,Party MNIS ID,Party URL,Constituencies contested,Constituencies contested by party URL,Votes,Vote share,Constituencies won,Constituencies won by party URL
"People Before Profit Alliance","PBPA",177,https://electionresults.parliament.uk/political-parties/25,3,https://electionresults.parliament.uk/general-elections/6/political-parties/25/elections,8438,0.02928911248921356754,0,https://electionresults.parliament.uk/general-elections/6/political-parties/25/elections/won
"Aontú","AONT",1025,https://electionresults.parliament.uk/political-parties/155,10,https://electionresults.parliament.uk/general-elections/6/political-parties/155/elections,7466,0.02591520666561608145,0,https://electionresults.parliament.uk/general-elections/6/political-parties/155/elections/won
"Newham Independents Party","NIP",1100,https://electionresults.parliament.uk/political-parties/302,1,https://electionresults.parliament.uk/general-elections/6/political-parties/302/elections,7180,0.02492247305908431085,0,https://electionresults.parliament.uk/general-elections/6/political-parties/302/elections/won
"Heritage Party","HPUK",1037,https://electionresults.parliament.uk/political-parties/256,41,https://electionresults.parliament.uk/general-elections/6/political-parties/256/elections,6597,0.02289882378423108617,0,https://electionresults.parliament.uk/general-elections/6/political-parties/256/elections/won
"UK Independence Party","UKIP",35,https://electionresults.parliament.uk/political-parties/8,24,https://electionresults.parliament.uk/general-elections/6/political-parties/8/elections,6530,0.0226662603169666504,0,https://electionresults.parliament.uk/general-elections/6/political-parties/8/elections/won
"Liberal","Lib",16,https://electionresults.parliament.uk/political-parties/56,12,https://electionresults.parliament.uk/general-elections/6/political-parties/56/elections,6375,0.02212824035538474675,0,https://electionresults.parliament.uk/general-elections/6/political-parties/56/elections/won
"Ashfield Independents","Ash",264,https://electionresults.parliament.uk/political-parties/128,1,https://electionresults.parliament.uk/general-elections/6/political-parties/128/elections,6276,0.02178460179927759539,0,https://electionresults.parliament.uk/general-elections/6/political-parties/128/elections/won
"Official Monster Raving Loony Party","MRLP",119,https://electionresults.parliament.uk/political-parties/12,22,https://electionresults.parliament.uk/general-elections/6/political-parties/12/elections,5814,0.02018095520411088904,0,https://electionresults.parliament.uk/general-elections/6/political-parties/12/elections/won
"Christian Peoples Alliance","CPA",80,https://electionresults.parliament.uk/political-parties/54,22,https://electionresults.parliament.uk/general-elections/6/political-parties/54/elections,5604,0.01945202493358056797,0,https://electionresults.parliament.uk/general-elections/6/political-parties/54/elections/won
"Scottish Family Party","SFP",1016,https://electionresults.parliament.uk/political-parties/165,16,https://electionresults.parliament.uk/general-elections/6/political-parties/165/elections,5425,0.01883069865536662763,0,https://electionresults.parliament.uk/general-elections/6/political-parties/165/elections/won
"English Democrats","ED",90,https://electionresults.parliament.uk/political-parties/15,15,https://electionresults.parliament.uk/general-elections/6/political-parties/15/elections,5182,0.01798722219946725611,0,https://electionresults.parliament.uk/general-elections/6/political-parties/15/elections/won
"Party of Women","POW",1102,https://electionresults.parliament.uk/political-parties/264,16,https://electionresults.parliament.uk/general-elections/6/political-parties/264/elections,5077,0.01762275706420209557,0,https://electionresults.parliament.uk/general-elections/6/political-parties/264/elections/won
"Lincolnshire Independents Lincolnshire First","LNIN",110,https://electionresults.parliament.uk/political-parties/73,2,https://electionresults.parliament.uk/general-elections/6/political-parties/73/elections,4277,0.01484587984313420578,0,https://electionresults.parliament.uk/general-elections/6/political-parties/73/elections/won
"One Leicester","OL",1101,https://electionresults.parliament.uk/political-parties/284,2,https://electionresults.parliament.uk/general-elections/6/political-parties/284/elections,4008,0.01391215487755012784,0,https://electionresults.parliament.uk/general-elections/6/political-parties/284/elections/won
"Socialist Labour Party","SL",147,https://electionresults.parliament.uk/political-parties/6,12,https://electionresults.parliament.uk/general-elections/6/political-parties/6/elections,3609,0.01252718736354251781,0,https://electionresults.parliament.uk/general-elections/6/political-parties/6/elections/won
"Liverpool Community Independents","LCI",1095,https://electionresults.parliament.uk/political-parties/285,1,https://electionresults.parliament.uk/general-elections/6/political-parties/285/elections,3294,0.0114337919577470362,0,https://electionresults.parliament.uk/general-elections/6/political-parties/285/elections/won
"Swale Independents","Si",1086,https://electionresults.parliament.uk/political-parties/295,1,https://electionresults.parliament.uk/general-elections/6/political-parties/295/elections,3238,0.01123941055227228392,0,https://electionresults.parliament.uk/general-elections/6/political-parties/295/elections/won
"Hampshire Independents","HI",1106,https://electionresults.parliament.uk/political-parties/260,10,https://electionresults.parliament.uk/general-elections/6/political-parties/260/elections,2872,0.00996898922363372434,0,https://electionresults.parliament.uk/general-elections/6/political-parties/260/elections/won
